time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060987472534179,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0067949295043945,0.0,0.009775161743164,0.009775161743164,0.0089168548583984,0.0112056732177734,0.0263452529907226,0,0.496,1.424,0.0,0.0,7.736,8.264,112.0,0.0,0.0104904174804687,0.0104904174804687,0.0,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060007939884318,0.0078678131103515,0.0,0.0,0.0,0.0,0.0047683715820312,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0,0.0,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1004.7805309295654,1004.7805309295654,1.192,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060861976585577,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0042915344238281,0.0085830688476562,0.0,0.0085830688476562,0.0071525573730468,0.0081062316894531,0.0,0.0,0.0,1,1.344,3.2,0.848,0.848,0.0,0.0,113.256,0.0,0.011444091796875,0.0131607055664062,1.192,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061882075978748,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0,0.0069141387939453,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0,0.496,1.36,0.848,0.848,0.0,0.0,113.256,0.0,0.0090599060058593,0.0090599060058593,1.192,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059711933135986,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.006103515625,0.0,0.005960464477539,0.005960464477539,0.0078678131103515,0.0125408172607421,0.0252246856689453,0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0088214874267578,0.0088214874267578,0.0,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061348303040461,0.0083446502685546,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061511993408203,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0073432922363281,0.0113487243652343,0.0220298767089843,0,0.496,1.36,0.0,0.0,4.232,3.744,116.424,0.0,0.0085830688476562,0.0085830688476562,4.136,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061644843561732,0.0083446502685546,0.0,0.0,0.0,0.0,0.0087420145670572,0.0066518783569335,0.0096797943115234,0.0088214874267578,0.0088214874267578,0.0092267990112304,0.0114679336547851,0.024724006652832,0,0.496,1.424,0.0,0.0,7.736,8.264,114.408,0.0,0.0088214874267578,0.0088214874267578,6.904,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060407126822122,0.0083446502685546,0.0,0.0,0.0,0.0,0.0050067901611328,0.0,0.0055789947509765,0.0,0.0,0.0,0.0,0.0,0,0.0,1.424,0.0,0.0,0.0,0.0,124.84,0.0,1020.73073387146,1020.73073387146,8.992,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060767083618771,0.0081062316894531,0.0,0.0,0.0,0.0,0.0045299530029296,0.0,0.0045299530029296,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,1,0.496,2.48,0.0,0.0,0.0,0.0,113.256,0.0,0.0116825103759765,0.0116825103759765,1.192,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061893937599599,0.0083446502685546,0.0,0.0,0.0,0.0,0.0045299530029296,0.0,0.0045299530029296,0.0081062316894531,0.0100135803222656,0.0,0.0,0.0,0,1.344,2.208,0.0,0.0,0.0,0.0,113.256,0.0,0.0095367431640625,0.0112533569335937,1.192,1
